Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,Ordenar0,OrdenarM,Ordenar1
1800,0.0005,0.0003,0.0003,0.0083,0.0145,0.007,0.0163,0.0177,0.0197,0.0466,0.04625,0.0459
1850,0.0005,0.0006,0.0005,0.0101,0.0148,0.0074,0.0158,0.0176,0.0204,0.0476,0.0469,0.0462
1900,0.0005,0.0003,0.0003,0.0076,0.0119,0.0074,0.0162,0.0185,0.0207,0.048,0.0477,0.0474
1950,0.0004,0.0003,0.0003,0.0081,0.0145,0.0076,0.0167,0.0186,0.0211,0.0499,0.0494,0.0489
2000,0.0004,0.0005,0.0003,0.01,0.0134,0.0078,0.017,0.0193,0.0218,0.0505,0.0498,0.0491
2050,0.0004,0.0003,0.0003,0.0089,0.0137,0.008,0.0175,0.0195,0.0222,0.0522,0.05165,0.0511
2100,0.0005,0.0003,0.0003,0.0085,0.0121,0.0081,0.0179,0.0201,0.0228,0.053,0.0529,0.0528
2150,0.0004,0.0003,0.0002,0.0091,0.0125,0.0084,0.0181,0.0204,0.0321,0.0544,0.0542,0.054
2200,0.0004,0.0003,0.0003,0.0115,0.0168,0.0086,0.019,0.0209,0.024,0.0563,0.05615,0.056
2250,0.0005,0.0004,0.0003,0.0096,0.0126,0.0087,0.0191,0.0215,0.0244,0.0577,0.0575,0.0573
2300,0.0005,0.0002,0.0003,0.0095,0.0139,0.009,0.0197,0.0219,0.0248,0.0598,0.0593,0.0588
2350,0.0005,0.0002,0.0004,0.0096,0.0165,0.0093,0.0202,0.023,0.0259,0.0621,0.0618,0.0615
2400,0.0004,0.0003,0.0003,0.0125,0.0199,0.0094,0.0203,0.0233,0.0289,0.0633,0.063,0.0627
2450,0.0005,0.0003,0.0004,0.0104,0.0179,0.0097,0.0211,0.062,0.0385,0.0753,0.07325,0.0712
2500,0.0006,0.0003,0.0003,0.0142,0.0343,0.0146,0.0281,0.0309,0.0361,0.0679,0.06705,0.0662
2550,0.0005,0.0003,0.0003,0.0113,0.0175,0.0101,0.0218,0.0243,0.0275,0.0687,0.06825,0.0678
2600,0.0004,0.0004,0.0003,0.0145,0.0204,0.0102,0.0226,0.0248,0.0281,0.0726,0.07195,0.0713
2650,0.0005,0.0003,0.0003,0.0111,0.0172,0.0104,0.0226,0.0253,0.0287,0.0735,0.0729,0.0723
2700,0.0005,0.0003,0.0003,0.0187,0.0292,0.011,0.0243,0.0272,0.0313,0.076,0.0762,0.0764
2750,0.0004,0.0003,0.0002,0.0293,0.0375,0.0108,0.0327,0.0268,0.031,0.0771,0.0763,0.0755
2800,0.0004,0.0003,0.0002,0.0125,0.0157,0.011,0.0235,0.0264,0.0301,0.0787,0.0781,0.0775
2850,0.0004,0.0004,0.0003,0.019,0.0192,0.0115,0.0251,0.0287,0.0326,0.0816,0.0811,0.0806
2900,0.0005,0.0003,0.0002,0.0123,0.0171,0.0114,0.0242,0.0274,0.0312,0.0836,0.0829,0.0822
2950,0.0005,0.0005,0.0003,0.0175,0.0249,0.0117,0.025,0.0281,0.0318,0.0845,0.0837,0.0829
3000,0.0004,0.0003,0.0003,0.0141,0.0806,0.0177,0.0331,0.0439,0.045,0.0859,0.09025,0.0946
3050,0.0006,0.0003,0.0003,0.0188,0.0216,0.0153,0.0372,0.0336,0.0346,0.0875,0.0894,0.0913
3100,0.0007,0.0004,0.0003,0.0175,0.0236,0.024,0.0288,0.0329,0.0352,0.0905,0.0898,0.0891
3150,0.0005,0.0003,0.0003,0.0148,0.0176,0.0127,0.0273,0.0308,0.0352,0.0904,0.09045,0.0905
3200,0.0004,0.0003,0.0003,0.0136,0.0193,0.013,0.0278,0.0314,0.036,0.0902,0.0918,0.0934
3250,0.0005,0.0002,0.0003,0.0138,0.0182,0.0132,0.028,0.0319,0.0498,0.0913,0.0909,0.0905
3300,0.0004,0.0006,0.0005,0.0228,0.0265,0.0132,0.0292,0.0326,0.0369,0.0938,0.09265,0.0915
3350,0.0004,0.0003,0.0003,0.015,0.0219,0.0138,0.0298,0.0336,0.038,0.0955,0.0949,0.0943
3400,0.0004,0.0008,0.0004,0.0793,0.0415,0.0144,0.0318,0.0352,0.0413,0.0973,0.0974,0.0975
3450,0.0005,0.0003,0.0003,0.0167,0.0226,0.0146,0.0314,0.0354,0.04,0.0955,0.09535,0.0952
3500,0.0007,0.0003,0.0003,0.0204,0.0264,0.0146,0.0315,0.0355,0.0417,0.097,0.09625,0.0955
3550,0.0004,0.0003,0.0003,0.0202,0.0209,0.0146,0.0309,0.0351,0.0399,0.0973,0.0968,0.0963
3600,0.0004,0.0003,0.0002,0.0165,0.0203,0.015,0.0322,0.0371,0.0413,0.0989,0.09835,0.0978
3650,0.0004,0.0003,0.0003,0.0206,0.0272,0.0154,0.0334,0.0372,0.0423,0.1013,0.1007,0.1001
3700,0.0005,0.0003,0.0003,0.0196,0.021,0.016,0.0336,0.038,0.0429,0.1004,0.1,0.0996
3750,0.0005,0.0003,0.0004,0.0234,0.0234,0.0161,0.0353,0.0396,0.0447,0.1387,0.13845,0.1382
3800,0.0006,0.0004,0.0003,0.0466,0.0726,0.017,0.0399,0.0533,0.053,0.1036,0.10275,0.1019
3850,0.0005,0.0003,0.0003,0.0342,0.0542,0.0169,0.0367,0.0408,0.0455,0.1047,0.1041,0.1035
3900,0.0005,0.0003,0.0003,0.0218,0.0308,0.0167,0.0366,0.041,0.0458,0.1057,0.10475,0.1038
3950,0.0004,0.0003,0.0003,0.0224,0.024,0.0168,0.0365,0.0416,0.0466,0.1047,0.10395,0.1032
4000,0.0004,0.0003,0.0003,0.0224,0.0241,0.017,0.0809,0.0431,0.0484,0.1056,0.10525,0.1049
4050,0.0004,0.0003,0.0003,0.0207,0.029,0.0171,0.0376,0.0425,0.0472,0.1094,0.10835,0.1073
4100,0.0004,0.0003,0.0003,0.0211,0.0276,0.018,0.0389,0.0443,0.0485,0.1244,0.12615,0.1279
4150,0.0004,0.0003,0.0003,0.0262,0.0715,0.018,0.0448,0.0553,0.0552,0.1129,0.1123,0.1117
4200,0.0004,0.0201,0.0003,0.046,0.0509,0.018,0.0398,0.0436,0.0481,0.1082,0.1078,0.1074
4250,0.0004,0.0005,0.0003,0.0203,0.0259,0.0184,0.0408,0.047,0.0546,0.1147,0.1143,0.1139
4300,0.0004,0.0003,0.0003,0.0272,0.0295,0.0186,0.0407,0.0463,0.0514,0.1171,0.11555,0.114
4350,0.0005,0.0003,0.0006,0.0263,0.0307,0.0192,0.041,0.047,0.0522,0.1165,0.11615,0.1158
4400,0.0004,0.0003,0.0003,0.0259,0.0341,0.02,0.044,0.0508,0.056,0.122,0.13005,0.1381
4450,0.0009,0.0003,0.0003,0.0286,0.0299,0.0197,0.0821,0.061,0.0968,0.1224,0.12145,0.1205
4500,0.0005,0.0003,0.0003,0.0394,0.0435,0.0226,0.0499,0.0546,0.0624,0.126,0.12465,0.1233
4550,0.0004,0.0004,0.0004,0.042,0.0443,0.0205,0.0454,0.052,0.0572,0.1606,0.14245,0.1243
4600,0.0004,0.0005,0.0003,0.0583,0.056,0.0218,0.0489,0.0554,0.0626,0.1349,0.1306,0.1263
4650,0.0004,0.0003,0.0003,0.0429,0.0594,0.0233,0.0496,0.0557,0.0609,0.1322,0.131,0.1298
4700,0.0004,0.0003,0.0003,0.0498,0.0509,0.0237,0.0488,0.0556,0.0607,0.1332,0.13225,0.1313
4750,0.0004,0.0003,0.0003,0.048,0.102,0.0592,0.0614,0.0694,0.078,0.158,0.181,0.204
4800,0.0007,0.0007,0.0004,0.1473,0.1971,0.0713,0.0627,0.0691,0.0781,0.2226,0.19125,0.1599
4850,0.0006,0.0015,0.0005,0.1047,0.068,0.0276,0.0562,0.0571,0.0624,0.1375,0.13685,0.1362
4900,0.0004,0.0004,0.0003,0.0288,0.0325,0.0232,0.0513,0.0582,0.0649,0.1417,0.1409,0.1401
4950,0.0004,0.0003,0.0003,0.0365,0.0331,0.0227,0.0513,0.0586,0.0647,0.1412,0.1405,0.1398
5000,0.0004,0.0004,0.0002,0.0342,0.0361,0.023,0.0518,0.0592,0.0654,0.1424,0.142,0.1416
5050,0.0004,0.0003,0.0003,0.0302,0.0324,0.0236,0.0521,0.0598,0.0696,0.1435,0.14335,0.1432
5100,0.0005,0.0003,0.0003,0.0293,0.0412,0.0242,0.0557,0.0634,0.0696,0.1465,0.1464,0.1463
5150,0.0004,0.0003,0.0003,0.0651,0.131,0.0289,0.0597,0.0707,0.0784,0.1506,0.1497,0.1488
5200,0.0005,0.0003,0.0003,0.0467,0.0298,0.0248,0.0563,0.0643,0.0712,0.1531,0.15275,0.1524
5250,0.0004,0.0003,0.0003,0.0424,0.0897,0.07,0.0787,0.0757,0.082,0.1892,0.2023,0.2154
5300,0.0007,0.0008,0.0003,0.0696,0.0669,0.0298,0.06,0.0669,0.0741,0.1566,0.1557,0.1548
5350,0.0004,0.0003,0.0003,0.0364,0.0491,0.0263,0.1634,0.2167,0.2268,0.1583,0.15765,0.157
5400,0.0006,0.0004,0.0003,0.0701,0.0498,0.0266,0.0624,0.0711,0.0782,0.3183,0.2384,0.1585
5450,0.0004,0.0003,0.0003,0.031,0.0458,0.0263,0.0621,0.0684,0.0764,0.1622,0.1613,0.1604
5500,0.0005,0.0004,0.0003,0.0373,0.0442,0.0269,0.0621,0.0716,0.0848,0.1667,0.16385,0.161
5550,0.0004,0.0005,0.0003,0.0402,0.0613,0.0277,0.0621,0.0713,0.078,0.1646,0.16425,0.1639
5600,0.0004,0.0006,0.0004,0.0725,0.0869,0.0351,0.0684,0.0788,0.0919,0.1836,0.1821,0.1806
5650,0.0004,0.0004,0.0003,0.0447,0.044,0.0277,0.0653,0.0737,0.0812,0.1688,0.16845,0.1681
5700,0.0004,0.0003,0.0003,0.0417,0.0468,0.0282,0.0746,0.0755,0.0829,0.1734,0.1727,0.172
5750,0.0004,0.0005,0.0003,0.0357,0.0343,0.0292,0.1409,0.0796,0.0843,0.1751,0.1743,0.1735
5800,0.0005,0.0003,0.0003,0.033,0.0523,0.0295,0.0664,0.0769,0.0848,0.1775,0.1765,0.1755
5850,0.0005,0.0003,0.0005,0.0435,0.0931,0.0432,0.0805,0.0901,0.103,0.1799,0.1779,0.1759
5900,0.0005,0.0005,0.0003,0.0799,0.0721,0.0308,0.0689,0.0792,0.0899,0.1784,0.18875,0.1991
5950,0.0006,0.0005,0.0004,0.0454,0.0351,0.0288,0.0666,0.0767,0.1101,0.1814,0.1868,0.1922
6000,0.0006,0.0009,0.0006,0.1907,0.077,0.0408,0.0811,0.1455,0.1164,0.182,0.18105,0.1801
6050,0.0005,0.0005,0.0002,0.0666,0.0511,0.0297,0.0811,0.0797,0.1141,0.185,0.18685,0.1887
6100,0.0004,0.0005,0.0002,0.0791,0.064,0.0307,0.0702,0.0807,0.1209,0.1852,0.1854,0.1856
6150,0.0005,0.0004,0.0003,0.0443,0.0377,0.0308,0.07,0.0816,0.0924,0.1865,0.18615,0.1858
6200,0.0004,0.0003,0.0003,0.0352,0.0488,0.052,0.0701,0.1534,0.104,0.1903,0.19005,0.1898
6250,0.0008,0.0004,0.0003,0.0359,0.0354,0.0312,0.0711,0.0824,0.0912,0.1919,0.1911,0.1903
6300,0.0005,0.0005,0.0003,0.0491,0.0521,0.0317,0.0732,0.0839,0.0932,0.2003,0.19605,0.1918
6350,0.0005,0.0003,0.0003,0.0504,0.0636,0.0375,0.0767,0.0867,0.0959,0.1938,0.1925,0.1912
6400,0.0004,0.0004,0.0003,0.0391,0.0529,0.0325,0.0758,0.0881,0.096,0.1927,0.19275,0.1928
6450,0.0004,0.0006,0.0005,0.1697,0.0699,0.0446,0.0796,0.1021,0.1176,0.2135,0.20345,0.1934
6500,0.0005,0.0004,0.0003,0.0379,0.0365,0.0327,0.0753,0.0891,0.0968,0.1935,0.20845,0.2234
6550,0.0005,0.0005,0.0003,0.0416,0.0383,0.0408,0.0804,0.0936,0.1023,0.196,0.19935,0.2027
6600,0.0004,0.0005,0.0003,0.0493,0.0454,0.0329,0.0762,0.0882,0.0983,0.2047,0.1998,0.1949
6650,0.0005,0.0003,0.0002,0.0431,0.0384,0.0332,0.108,0.0973,0.1017,0.1969,0.1968,0.1967
6700,0.0005,0.0004,0.0003,0.0596,0.0733,0.0477,0.0872,0.1009,0.1156,0.2124,0.20625,0.2001
6750,0.0005,0.0006,0.0003,0.1171,0.086,0.0392,0.0802,0.0924,0.1037,0.2025,0.20185,0.2012
6800,0.0005,0.0003,0.0003,0.0454,0.0534,0.0345,0.0797,0.0929,0.1029,0.205,0.20735,0.2097
6850,0.0005,0.0003,0.0003,0.0437,0.0407,0.0345,0.0809,0.1009,0.1053,0.206,0.2056,0.2052
6900,0.0005,0.0003,0.0004,0.0509,0.0428,0.0352,0.0809,0.0951,0.1051,0.2086,0.2069,0.2052
6950,0.0004,0.0006,0.0003,0.091,0.063,0.0362,0.0815,0.0953,0.1062,0.2308,0.2169,0.203
7000,0.0004,0.0004,0.0003,0.0463,0.0613,0.0391,0.0828,0.0947,0.1064,0.2063,0.2058,0.2053
7050,0.0005,0.0003,0.0003,0.0446,0.0565,0.0352,0.1018,0.0962,0.1056,0.2061,0.20555,0.205
7100,0.0005,0.0007,0.0003,0.1172,0.194,0.1325,0.0941,0.1059,0.1247,0.2214,0.21335,0.2053
7150,0.0004,0.0003,0.0003,0.065,0.0622,0.0358,0.0832,0.1303,0.1578,0.2108,0.20885,0.2069
7200,0.0005,0.0005,0.0003,0.0405,0.0664,0.0366,0.0848,0.0981,0.1086,0.2004,0.2021,0.2038
7250,0.0005,0.0003,0.0003,0.0473,0.0404,0.0348,0.0826,0.1437,0.1114,0.2127,0.21755,0.2224
7300,0.0007,0.0004,0.0003,0.0675,0.0617,0.0375,0.0872,0.1004,0.1118,0.2153,0.214,0.2127
7350,0.0005,0.0003,0.0003,0.0644,0.0485,0.0373,0.0862,0.1,0.1116,0.2138,0.2173,0.2208
7400,0.0005,0.0004,0.0003,0.0518,0.0436,0.0378,0.0938,0.1014,0.1133,0.2128,0.2128,0.2128
7450,0.0005,0.0006,0.0003,0.1262,0.2304,0.0621,0.0884,0.1044,0.1181,0.2159,0.22015,0.2244
7500,0.0004,0.0004,0.0003,0.0719,0.0667,0.0379,0.0862,0.1013,0.1119,0.2171,0.21645,0.2158
7550,0.0005,0.0003,0.0003,0.0442,0.0419,0.0392,0.0893,0.1013,0.113,0.2156,0.2156,0.2156
7600,0.0004,0.0003,0.0006,0.0464,0.0425,0.0382,0.0877,0.1024,0.1165,0.2184,0.21795,0.2175
7650,0.0005,0.0003,0.0003,0.0869,0.0817,0.0438,0.0914,0.108,0.1167,0.2197,0.22165,0.2236
7700,0.0009,0.0005,0.0003,0.108,0.0871,0.0545,0.0924,0.1062,0.1186,0.2639,0.2422,0.2205
7750,0.0004,0.0003,0.0003,0.0815,0.0569,0.0393,0.091,0.1062,0.1184,0.2223,0.22235,0.2224
7800,0.0004,0.0003,0.0003,0.062,0.07,0.0414,0.0917,0.106,0.1184,0.2271,0.22605,0.225
7850,0.0004,0.0003,0.0002,0.1098,0.0894,0.0464,0.0923,0.1069,0.1195,0.2245,0.22415,0.2238
7900,0.0004,0.0006,0.0003,0.0833,0.0654,0.0405,0.0936,0.1089,0.1287,0.2217,0.2215,0.2213
7950,0.0005,0.0005,0.0003,0.059,0.049,0.0408,0.0937,0.1091,0.1321,0.2542,0.2607,0.2672
8000,0.0006,0.0004,0.0003,0.0658,0.1324,0.0711,0.157,0.1786,0.1236,0.2545,0.23925,0.224
8050,0.0004,0.0004,0.0003,0.1509,0.1079,0.0568,0.0966,0.1106,0.1243,0.2252,0.2241,0.223
8100,0.0005,0.0003,0.0003,0.0804,0.0769,0.0744,0.0982,0.1113,0.1308,0.2319,0.2308,0.2297
8150,0.0004,0.0005,0.0003,0.0647,0.0743,0.0439,0.1053,0.1095,0.1288,0.229,0.2289,0.2288
8200,0.0004,0.0003,0.0003,0.1686,0.2066,0.1022,0.1055,0.115,0.1296,0.23,0.2294,0.2288
8250,0.0004,0.0009,0.0003,0.215,0.1133,0.0577,0.0985,0.1116,0.1244,0.2363,0.23585,0.2354
8300,0.0006,0.0005,0.0003,0.1414,0.0952,0.0434,0.0967,0.113,0.1329,0.2383,0.23805,0.2378
8350,0.0007,0.0008,0.0005,0.1335,0.0986,0.0476,0.1065,0.1131,0.1268,0.2391,0.24115,0.2432
8400,0.0004,0.0005,0.0003,0.0709,0.06,0.0433,0.0988,0.1154,0.1293,0.247,0.24325,0.2395
8450,0.0004,0.0003,0.0003,0.0545,0.0583,0.044,0.1014,0.1173,0.1325,0.243,0.24215,0.2413
8500,0.0004,0.0004,0.0003,0.0746,0.0576,0.0436,0.112,0.1313,0.1481,0.255,0.2496,0.2442
8550,0.0004,0.0005,0.0003,0.0505,0.0709,0.0442,0.0996,0.1163,0.1305,0.2453,0.2439,0.2425
8600,0.0005,0.0004,0.0004,0.1052,0.1248,0.0748,0.104,0.1202,0.1347,0.2502,0.24745,0.2447
8650,0.0005,0.0003,0.0003,0.0674,0.055,0.0668,0.1047,0.1181,0.1616,0.2476,0.24835,0.2491
8700,0.0004,0.0005,0.0003,0.0709,0.0583,0.0443,0.1027,0.1195,0.1342,0.2527,0.25025,0.2478
8750,0.0005,0.0005,0.0003,0.1043,0.0829,0.0501,0.1082,0.1273,0.1497,0.2525,0.25375,0.255
8800,0.0008,0.0005,0.0003,0.0859,0.0687,0.0452,0.1031,0.1457,0.1363,0.3351,0.3192,0.3033
8850,0.0005,0.0008,0.0002,0.1203,0.121,0.0677,0.107,0.1239,0.1375,0.2577,0.25775,0.2578
8900,0.0004,0.0004,0.0003,0.1936,0.2129,0.1091,0.1485,0.1653,0.1861,0.2597,0.30095,0.3422
8950,0.0005,0.0004,0.0002,0.094,0.0994,0.0558,0.1138,0.1743,0.1421,0.3428,0.32305,0.3033
9000,0.0006,0.0013,0.0008,0.2313,0.1951,0.0538,0.1163,0.1192,0.1345,0.2435,0.2678,0.2921
9050,0.0004,0.0002,0.0003,0.0522,0.0477,0.0574,0.1002,0.1168,0.1323,0.2508,0.26835,0.2859
9100,0.0004,0.0005,0.0003,0.2217,0.132,0.0816,0.1061,0.123,0.1409,0.288,0.2774,0.2668
9150,0.0005,0.0003,0.0003,0.296,0.1451,0.1099,0.1566,0.1456,0.1744,0.267,0.2672,0.2674
9200,0.0007,0.0005,0.0002,0.1035,0.0746,0.0461,0.1054,0.1224,0.1414,0.2685,0.26755,0.2666
9250,0.0005,0.0019,0.0005,0.2784,0.1589,0.1015,0.121,0.1433,0.1629,0.3274,0.32795,0.3285
9300,0.0009,0.0008,0.0006,0.2056,0.1699,0.0567,0.1103,0.1273,0.1536,0.2758,0.278,0.2802
9350,0.0005,0.0004,0.0003,0.0784,0.0611,0.0475,0.1082,0.1263,0.143,0.2784,0.2814,0.2844
9400,0.0005,0.0004,0.0004,0.0947,0.0845,0.0485,0.1102,0.129,0.1456,0.2806,0.291,0.3014
9450,0.0005,0.0003,0.0003,0.0843,0.0613,0.0478,0.1086,0.1273,0.144,0.2798,0.2795,0.2792
9500,0.0005,0.0003,0.0003,0.0563,0.0528,0.0478,0.1098,0.1288,0.1464,0.3935,0.36995,0.3464
9550,0.0004,0.0011,0.0004,0.3982,0.149,0.0972,0.1157,0.134,0.1515,0.2864,0.2856,0.2848
9600,0.0005,0.0003,0.0003,0.0643,0.1101,0.0493,0.1236,0.1245,0.1413,0.3062,0.29545,0.2847
9650,0.0005,0.0003,0.0003,0.0589,0.0629,0.0468,0.1089,0.1319,0.2013,0.3639,0.3573,0.3507
9700,0.0004,0.0004,0.0004,0.077,0.1151,0.0858,0.1319,0.1416,0.2078,0.2912,0.29165,0.2921
9750,0.0005,0.001,0.0005,0.2914,0.1732,0.0645,0.1195,0.1451,0.1704,0.2933,0.293,0.2927
9800,0.0004,0.0003,0.0004,0.0999,0.0747,0.0506,0.1167,0.1359,0.1553,0.298,0.29825,0.2985
9850,0.0005,0.0003,0.0004,0.1463,0.1919,0.1047,0.1158,0.1402,0.1668,0.2857,0.2856,0.2855
9900,0.0004,0.0004,0.0003,0.1595,0.1767,0.0611,0.1195,0.1409,0.1584,0.3029,0.3113,0.3197
9950,0.0005,0.0003,0.0003,0.1039,0.1303,0.0508,0.1279,0.1298,0.1477,0.3115,0.2985,0.2855
10000,0.0005,0.0004,0.0003,0.1415,0.1206,0.0605,0.1165,0.1415,0.1555,0.3085,0.30695,0.3054
10050,0.0005,0.0005,0.0003,0.0941,0.0808,0.049,0.1499,0.1526,0.258,0.3166,0.3046,0.2926
10100,0.0004,0.0004,0.0003,0.4096,0.2505,0.3109,0.1942,0.1557,0.1777,0.3081,0.3065,0.3049
10150,0.0005,0.0004,0.0003,0.0767,0.0903,0.0524,0.1163,0.1364,0.1934,0.3082,0.3096,0.311
10200,0.0004,0.0003,0.0003,0.0945,0.0875,0.0571,0.1232,0.1528,0.1641,0.3124,0.3102,0.308
10250,0.0005,0.0012,0.0006,0.2898,0.1522,0.0559,0.1198,0.1404,0.1592,0.3133,0.31195,0.3106
10300,0.0004,0.0003,0.0003,0.1166,0.1291,0.0523,0.1196,0.1389,0.1582,0.317,0.3169,0.3168
10350,0.0005,0.0007,0.0003,0.1389,0.1307,0.0592,0.1267,0.1428,0.1628,0.3273,0.3262,0.3251
10400,0.0004,0.0005,0.0003,0.1045,0.076,0.053,0.1207,0.1596,0.161,0.3361,0.3293,0.3225
10450,0.0004,0.0008,0.0003,0.1399,0.3487,0.2208,0.374,0.3637,0.1692,0.3262,0.3257,0.3252
10500,0.0004,0.0005,0.0003,0.1409,0.1641,0.0954,0.1264,0.1458,0.1628,0.3266,0.32775,0.3289
10550,0.0004,0.0004,0.0003,0.1003,0.0852,0.0594,0.1243,0.1481,0.1736,0.3294,0.3314,0.3334
10600,0.0004,0.0004,0.0003,0.0913,0.102,0.0675,0.126,0.1451,0.1658,0.3291,0.3282,0.3273
10650,0.0005,0.0007,0.0003,0.1742,0.2334,0.0948,0.1281,0.1603,0.1843,0.3367,0.33485,0.333
10700,0.0008,0.0003,0.0003,0.1261,0.1017,0.0544,0.125,0.1457,0.1963,0.3462,0.33815,0.3301
10750,0.0004,0.0004,0.0003,0.098,0.0817,0.0549,0.1349,0.1473,0.1684,0.3304,0.3419,0.3534
10800,0.0007,0.0006,0.0002,0.1459,0.116,0.0686,0.1391,0.1601,0.1685,0.3441,0.3397,0.3353
10850,0.0005,0.0003,0.0003,0.1033,0.0785,0.0545,0.1252,0.1487,0.1686,0.3384,0.33875,0.3391
10900,0.0007,0.0003,0.0003,0.1395,0.1421,0.0686,0.1258,0.1456,0.1726,0.4166,0.46235,0.5081
10950,0.0005,0.0006,0.0003,0.192,0.1328,0.0596,0.1382,0.1518,0.1719,0.4774,0.4311,0.3848
11000,0.0006,0.0004,0.0004,0.2209,0.1842,0.1185,0.1409,0.158,0.1733,0.3456,0.34455,0.3435
11050,0.0005,0.0004,0.0003,0.121,0.1432,0.0911,0.1432,0.1801,0.1813,0.3459,0.3453,0.3447
11100,0.0004,0.0004,0.0003,0.1324,0.1138,0.104,0.1332,0.1607,0.1768,0.3953,0.39245,0.3896
